파일명,단위,레이어,LINE 수,LWPOLYLINE 수,CIRCLE 수,ARC 수,TEXT 수,INSERT 수,비고
cvs_a_layout_250909.dxf,4,STL,2,1,1,0,0,0,
cvs_a_layout_250909.dxf,4,SHEET,2,0,1,0,43,0,
cvs_a_layout_250909.dxf,4,목공,0,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,HATCH,0,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,WALL_IN,0,9,0,0,0,37,
cvs_a_layout_250909.dxf,4,해치,0,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,Defpoints,0,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,WALL,54,0,0,0,0,3,
cvs_a_layout_250909.dxf,4,OUT,7,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,TXT,0,0,0,0,8,0,
cvs_a_layout_250909.dxf,4,AREA,0,1,0,0,0,0,
cvs_a_layout_250909.dxf,4,FUR,13,37,3,0,2,0,
cvs_a_layout_250909.dxf,4,DOOR,0,3,0,1,0,0,
cvs_a_layout_250909.dxf,4,layout,0,4,0,0,2,1,
cvs_a_layout_250909.dxf,4,천정라인,2,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,Layer 1,0,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,text,0,2,0,0,0,0,
cvs_a_layout_250909.dxf,4,WIN,8,28,0,0,0,0,
cvs_a_layout_250909.dxf,4,DIM,0,1,0,0,0,0,
cvs_a_layout_250909.dxf,4,DIM_IN,0,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,집기,7,9,0,1,0,0,
cvs_a_layout_250909.dxf,4,LIGHT,0,0,0,0,0,0,
cvs_a_layout_250909.dxf,4,0,0,1,0,0,1,2,
cvs_a_layout_250909.dxf,4,WAL,0,1,0,0,0,0,
cvs_b_layout_250909.dxf,4,STL,1,1,0,0,0,0,
cvs_b_layout_250909.dxf,4,3,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,SHEET,2,0,1,0,44,0,
cvs_b_layout_250909.dxf,4,목공,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,HATCH,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,WALL_IN,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,해치,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,Defpoints,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,WALL,55,0,0,0,0,2,
cvs_b_layout_250909.dxf,4,OUT,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,LA,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,TXT,6,0,0,0,6,0,
cvs_b_layout_250909.dxf,4,AREA,0,1,0,0,0,0,
cvs_b_layout_250909.dxf,4,FUR,12,48,15,0,2,1,
cvs_b_layout_250909.dxf,4,DOOR,1,9,0,7,0,0,
cvs_b_layout_250909.dxf,4,LAYER2,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,CEILING,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,layout,56,14,0,4,3,1,
cvs_b_layout_250909.dxf,4,천정라인,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,Layer 1,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,CEN,1,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,text,0,1,0,0,0,0,
cvs_b_layout_250909.dxf,4,LG25,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,WIN,71,10,0,0,0,0,
cvs_b_layout_250909.dxf,4,DIM,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,DIM_IN,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,집기,8,51,0,0,1,0,
cvs_b_layout_250909.dxf,4,LIGHT,0,0,0,0,0,0,
cvs_b_layout_250909.dxf,4,0,0,69,0,0,0,8,
cvs_b_layout_250909.dxf,4,WAL,0,0,0,0,0,0,
